iter	Passed	Remaining
0	10	3018
1	20	2769
2	30	2839
3	42	2933
4	51	2833
5	62	2849
6	74	2874
7	83	2816
8	94	2832
9	105	2828
10	114	2789
11	125	2784
12	181	3690
13	209	3949
14	267	4690
15	291	4778
16	327	5031
17	342	4948
18	356	4863
19	365	4718
20	376	4608
21	387	4507
22	396	4395
23	407	4308
24	417	4223
25	426	4130
26	437	4065
27	446	3987
28	458	3933
29	469	3882
30	478	3816
31	490	3768
32	503	3741
33	514	3689
34	524	3642
35	535	3596
36	544	3546
37	555	3507
38	568	3482
39	577	3437
40	588	3403
41	599	3369
42	609	3328
43	619	3293
44	630	3262
45	639	3224
46	652	3207
47	664	3181
48	673	3146
49	684	3120
50	694	3091
51	704	3059
52	715	3036
53	724	3005
54	735	2980
55	747	2962
56	758	2939
57	768	2914
58	779	2892
59	791	2874
60	801	2849
61	811	2828
62	821	2803
63	832	2783
64	843	2762
65	852	2737
66	862	2715
67	871	2690
68	882	2671
69	893	2654
70	902	2631
71	913	2614
72	926	2603
73	936	2581
74	946	2560
75	956	2543
76	966	2522
77	978	2508
78	990	2496
79	1003	2482
80	1013	2465
81	1025	2450
82	1035	2433
83	1045	2415
84	1056	2398
85	1065	2379
86	1079	2369
87	1090	2355
88	1101	2338
89	1110	2320
90	1122	2306
91	1133	2290
92	1142	2272
93	1152	2256
94	1161	2237
95	1172	2222
96	1183	2207
97	1193	2191
98	1203	2176
99	1216	2165
100	1225	2147
101	1236	2134
102	1247	2118
103	1257	2103
104	1268	2089
105	1278	2074
106	1289	2060
107	1300	2046
108	1309	2029
109	1321	2017
110	1331	2002
111	1341	1988
112	1354	1978
113	1365	1965
114	1375	1949
115	1386	1936
116	1397	1923
117	1407	1907
118	1417	1893
119	1428	1880
120	1437	1865
121	1447	1850
122	1457	1837
123	1467	1822
124	1478	1809
125	1491	1799
126	1502	1785
127	1512	1772
128	1523	1759
129	1533	1745
130	1544	1732
131	1554	1718
132	1564	1706
133	1575	1693
134	1585	1679
135	1597	1667
136	1608	1655
137	1617	1641
138	1631	1631
139	1642	1619
140	1652	1605
141	1662	1591
142	1672	1579
143	1682	1565
144	1693	1553
145	1704	1541
146	1713	1527
147	1725	1515
148	1737	1504
149	1746	1490
150	1756	1477
151	1769	1467
152	1778	1453
153	1789	1440
154	1799	1427
155	1809	1414
156	1820	1403
157	1829	1389
158	1840	1377
159	1851	1365
160	1860	1352
161	1871	1339
162	1881	1327
163	1890	1313
164	1900	1301
165	1912	1290
166	1922	1277
167	1933	1265
168	1942	1252
169	1953	1241
170	1963	1228
171	1973	1216
172	1984	1204
173	1994	1192
174	2004	1179
175	2015	1167
176	2024	1155
177	2035	1143
178	2048	1132
179	2057	1120
180	2067	1108
181	2077	1096
182	2087	1083
183	2098	1072
184	2109	1060
185	2118	1047
186	2129	1036
187	2138	1023
188	2149	1012
189	2159	1000
190	2168	987
191	2179	976
192	2192	965
193	2202	953
194	2214	942
195	2225	930
196	2234	918
197	2245	907
198	2256	895
199	2265	883
200	2273	871
201	2284	859
202	2295	848
203	2307	836
204	2319	825
205	2335	816
206	2346	804
207	2357	793
208	2365	781
209	2377	769
210	2387	758
211	2397	746
212	2408	734
213	2418	723
214	2429	711
215	2440	700
216	2451	688
217	2460	677
218	2473	666
219	2484	654
220	2493	643
221	2504	631
222	2514	620
223	2525	608
224	2537	597
225	2546	585
226	2556	574
227	2567	563
228	2576	551
229	2587	539
230	2598	528
231	2607	516
232	2622	506
233	2632	495
234	2641	483
235	2652	472
236	2663	460
237	2672	449
238	2683	437
239	2693	426
240	2703	415
241	2714	403
242	2724	392
243	2735	381
244	2745	369
245	2758	358
246	2767	347
247	2778	336
248	2787	324
249	2798	313
250	2809	302
251	2819	290
252	2830	279
253	2840	268
254	2850	257
255	2861	245
256	2870	234
257	2881	223
258	2894	212
259	2905	201
260	2915	189
261	2926	178
262	2936	167
263	2948	156
264	2958	145
265	2966	133
266	2976	122
267	2987	111
268	2996	100
269	3007	89
270	3016	77
271	3030	66
272	3044	55
273	3055	44
274	3065	33
275	3074	22
276	3086	11
277	3095	0
