cocunut,age,years_with_bank,marital_status,education,employment,gender,cust_income,current_with_bank_date,current_balance_eur,job_stability_years,address_stability_years,job_stability_missing,address_stability_missing,cust_income_log,mortgage_probability_calibrated,mortgage_prediction_calibrated
80852,39,12,M,BCR,PVE,M,1354.471,2004-11-02,9684.464154,6.410958904109589,0.6246575342465753,0,0,7.211904274390419,0.2824212457889411,1
81983,44,13,S,BCR,PVE,M,1138.223077,2004-03-23,7692.307692,1.0136986301369864,1.347945205479452,0,0,7.038101797650571,0.17245948203842942,1
81597,44,9,M,BCR,PVE,M,914.1461538,2007-10-16,7692.307692,7.227397260273973,2.4328767123287673,0,0,6.819083783448857,0.16259032716927455,1
82208,37,13,M,HGH,PVE,F,812.2240769,2004-01-15,7745.769231,10.854794520547944,1.7616438356164383,0,0,6.701006688915502,0.16259032716927455,1
81016,34,9,S,BCR,PVE,M,999.8692308,2008-01-29,7692.307692,9.69041095890411,3.515068493150685,0,0,6.908624132219822,0.16259032716927455,1
80092,32,10,M,BCR,PVE,M,2589.938462,2006-10-19,10680.60092,11.101369863013698,4.347945205479452,0,0,7.859775429604643,0.1604474700264174,1
82400,51,15,D,HGH,PVE,F,1671.969231,2001-11-17,7692.307692,10.553424657534247,1.2027397260273973,0,0,7.422355309305445,0.1596491506986863,1
82693,43,12,M,BCR,PVE,F,3007.018846,2005-04-20,2307.692308,1.3287671232876712,0.5972602739726027,0,0,8.009036950342656,0.1553388058711001,1
82135,42,13,M,MAS,PVE,F,1562.346154,2003-07-10,2307.692308,13.471232876712328,2.23013698630137,0,0,7.354583773591467,0.15373610722042544,1
80423,34,9,M,BCR,PVE,F,1158.215385,2008-06-26,13846.15385,0.7616438356164383,4.764383561643836,0,0,7.055498663002595,0.15236693886342748,1
81409,35,10,M,BCR,PVE,M,799.1549231,2007-04-19,645.8948462,1.252054794520548,2.7616438356164386,0,0,6.684805362794436,0.15236693886342748,1
82656,45,13,M,BCR,PVE,M,1288.538462,2003-11-24,4615.384615,2.6767123287671235,9.101369863013698,0,0,7.162039651941335,0.1515932500775683,1
81378,41,11,M,HGH,PVE,M,917.9,2005-08-03,15775.59762,7.931506849315069,9.416438356164383,0,0,6.823177302506839,0.1515932500775683,1
81923,46,14,M,BCR,PVE,M,2587.807692,2002-07-15,0.0,6.35068493150685,6.964383561643835,0,0,7.858952698120574,0.1515932500775683,1
80533,46,15,M,BCR,STE,M,1524.069231,2002-02-06,13846.15385,7.23013698630137,5.435616438356164,0,0,7.329795085388131,0.1515932500775683,1
81478,40,9,S,BCR,PVE,F,1149.661538,2008-02-28,7692.307692,1.3452054794520547,3.3123287671232875,0,0,7.048092306398972,0.14942576239283922,1
80247,34,6,M,HGH,PVE,M,1063.246154,2010-10-13,7692.307692,4.608219178082192,5.991780821917808,0,0,6.970021990889188,0.14853208234296242,1
81253,36,10,M,HGH,PVE,M,677.5461538,2006-07-24,2307.692308,7.013698630136986,0.5972602739726027,0,0,6.519952500248107,0.14785117090070649,1
82453,31,5,S,BCR,PVE,M,851.223,2011-08-31,7692.307692,5.112328767123287,7.764383561643836,0,0,6.747848229671341,0.14648200254370852,1
82243,37,0,M,BCR,PVE,M,769.2307692,2016-09-19,512.2307692,1.095890410958904,1.4219178082191781,0,0,6.646690170206318,0.14648200254370852,1
82305,44,14,M,HGH,PVE,M,736.1615385,2002-08-21,4347.115385,6.717808219178083,3.6767123287671235,0,0,6.6028070520255255,0.14570831375784937,1
81544,42,12,M,HGH,PVE,M,816.8507692,2005-02-16,2307.692308,6.764383561643836,8.126027397260273,0,0,6.706679886218857,0.14570831375784937,1
